No.,Kabupaten/kota,Ibu kota,Bupati/wali kota,Luas wilayah (km2)[2],Jumlah penduduk (2022),Kecamatan,Gampong,Lambang,Peta lokasi,Lambang URL,Peta Lokasi URL
11,Kabupaten Aceh Utara,Lhoksukon,Mahyuzar Reuby (Pj.),"2.705,26",609.705,27,852,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Lambang_kab_acehutara.png/50px-Lambang_kab_acehutara.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Lokasi_Aceh_Kabupaten_Aceh_Utara.svg/150px-Lokasi_Aceh_Kabupaten_Aceh_Utara.svg.png
12,Kabupaten Bener Meriah,Simpang Tiga Redelong,Haili Yoga (Pj.),"1.907,40",168.469,10,232,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Lambang_Kabupaten_Bener_Meriah.png/50px-Lambang_Kabupaten_Bener_Meriah.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Lokasi_Aceh_Kabupaten_Bener_Meriah.svg/150px-Lokasi_Aceh_Kabupaten_Bener_Meriah.svg.png
13,Kabupaten Bireuen,Bireuen,Aulia Sofyan (Pj.),"1.796,99",445.503,17,609,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Logo_Bireuen.jpg/50px-Logo_Bireuen.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Lokasi_Aceh_Kabupaten_Bireuen.svg/150px-Lokasi_Aceh_Kabupaten_Bireuen.svg.png
14,Kabupaten Gayo Lues,Blang Kejeren,Syaridin Porang (Pj.),"5.541,29",101.955,11,136,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Lambang_Gayo_Lues.png/50px-Lambang_Gayo_Lues.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Lokasi_Aceh_Kabupaten_Gayo_Lues.svg/150px-Lokasi_Aceh_Kabupaten_Gayo_Lues.svg.png
15,Kabupaten Nagan Raya,Suka Makmue,Fitriany Farhas (Pj.),"3.524,16",172.827,10,222,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Lambang_Kabupaten_Nagan_Raya.png/50px-Lambang_Kabupaten_Nagan_Raya.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Lokasi_Aceh_Kabupaten_Nagan_Raya.svg/150px-Lokasi_Aceh_Kabupaten_Nagan_Raya.svg.png
16,Kabupaten Pidie,Sigli,Wahyudi Adisiswanto (Pj.),"3.177,49",436.796,23,730,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Logo_Kabupaten_Pidie.jpg/50px-Logo_Kabupaten_Pidie.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Lokasi_Aceh_Kabupaten_Pidie.svg/150px-Lokasi_Aceh_Kabupaten_Pidie.svg.png
17,Kabupaten Pidie Jaya,Meureudu,Said Mulyadi (Plt.),"939,00",160.272,8,222,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Lambang_Kabupaten_Pidie_Jaya.png/50px-Lambang_Kabupaten_Pidie_Jaya.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Lokasi_Aceh_Kabupaten_Pidie_Jaya.svg/150px-Lokasi_Aceh_Kabupaten_Pidie_Jaya.svg.png
18,Kabupaten Simeulue,Sinabang,Ahmadlyah (Pj.),"1.821,75",94.560,10,138,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/LOGO_KABUPATEN_SIMEULUE.png/50px-LOGO_KABUPATEN_SIMEULUE.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Lokasi_Aceh_Kabupaten_Simeulue.svg/150px-Lokasi_Aceh_Kabupaten_Simeulue.svg.png
19,Kota Banda Aceh,-,Amiruddin (Pj.),"56,77",254.024,9,90,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Lambang_Kota_Banda_Aceh.png/50px-Lambang_Kota_Banda_Aceh.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Lokasi_Aceh_Kota_Banda_Aceh.svg/150px-Lokasi_Aceh_Kota_Banda_Aceh.svg.png
20,Kota Langsa,-,Syaridin (Pj.),"224,24",186.075,5,66,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Pemko_langsa.jpg/50px-Pemko_langsa.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Lokasi_Aceh_Kota_Langsa.svg/150px-Lokasi_Aceh_Kota_Langsa.svg.png
21,Kota Lhokseumawe,-,A. Hanan (Pj.),"132,97",191.688,4,68,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Lambang_Kota_Lhokseumawe.gif/50px-Lambang_Kota_Lhokseumawe.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Lokasi_Aceh_Kota_Lhokseumawe.svg/150px-Lokasi_Aceh_Kota_Lhokseumawe.svg.png
22,Kota Sabang,-,Reza Fahlevi (Pj.),"122,06",42.867,3,18,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Lambang_Kota_Sabang.png/50px-Lambang_Kota_Sabang.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Lokasi_Aceh_Kota_Sabang.svg/150px-Lokasi_Aceh_Kota_Sabang.svg.png
23,Kota Subulussalam,-,Affan Alfian Bintang,"1.183,60",96.296,5,82,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Lambang_Kota_Subulussalam.png/50px-Lambang_Kota_Subulussalam.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Lokasi_Aceh_Kota_Subulussalam.svg/150px-Lokasi_Aceh_Kota_Subulussalam.svg.png
